"Qty ";"Value ";"Device ";"Package ";"Parts ";"Description ";"MF ";"MPN ";"OC_FARNELL ";"TME_EU ";
"3 ";"6k8 ";"R-EU_M0805 ";"M0805 ";"R7_a, R8_a, R33_a ";"RESISTOR_a, European s ";" ";" ";"unknown ";"RC0805FR-076K8 ";
"12 ";"B3F-4150 ";"TACTILE_SWITCHTACTILE_SWITCH_PTH-12MM ";"TACTILE-PTH-12MM ";"S1_a, S2_a, S3_a, S4_a, S5_a, S6_a, S7_a, S8_a, S9_a, S10_a, S11_a, S12 ";"Momentary Switch ";" ";" ";"unknown ";"B3F-4050 ";
"1 ";"M09LOCK-LONGPADS ";"M08LOCK-LONGPADS ";"1X08_LOCK_LONGPADS ";"JP1_a ";"Header 8 ";" ";" ";"unknown ";" ";
"12 ";"SD103C ";"DIODE280MIL-TH ";"280MIL-TH ";"D6_a, D7_a, D8_a, D9_a, D13_a, D14_a, D22_a, D23_a, D24_a, D25_a, D26_a, D27_a ";" ";"MULTICOMP ";"SD103CW-7-F ";"2306221 ";" ";
